iter	Logloss
158	0.5092484477
159	0.5082717865
160	0.5073712795
161	0.506669406
162	0.5061486339
163	0.5057919326
164	0.5052153834
165	0.5041850082
166	0.5035320755
167	0.5027050632
168	0.5021346636
169	0.5012022839
170	0.5002605876
171	0.4994852438
172	0.4989908968
173	0.4984938724
174	0.4976344661
175	0.4970316836
176	0.4966223469
177	0.4958395002
178	0.4951285999
179	0.4946453853
180	0.494084642
181	0.4935249491
182	0.493000792
183	0.4921952441
184	0.4912545531
185	0.4906426992
186	0.4898036143
187	0.489470195
188	0.488945137
189	0.4883941283
190	0.4877179261
191	0.4868192264
192	0.4863658139
193	0.4853107107
194	0.4845860018
195	0.4842303347
196	0.4835027698
197	0.4828296761
198	0.4821348495
199	0.4815045761
200	0.4810819461
201	0.4806057401
202	0.4801998348
203	0.4797787762
204	0.4791065952
205	0.4787595403
206	0.4782388229
207	0.4778517949
208	0.4772746615
209	0.4764897434
210	0.4761445699
211	0.4758310828
212	0.4753050695
213	0.4748160624
214	0.4744160475
215	0.4740712375
216	0.4731316893
217	0.4725487981
218	0.471521794
219	0.470946255
220	0.4705029927
221	0.4700919017
222	0.4698989195
223	0.4693568891
224	0.4689356909
225	0.4683618571
226	0.4677004282
227	0.4670388778
228	0.4665204672
229	0.4658503254
230	0.465394601
231	0.4647655933
232	0.4643102642
233	0.463969369
234	0.4631507723
235	0.4626540728
236	0.4620049182
237	0.4612847974
238	0.4605522863
239	0.4598121221
240	0.4591863414
241	0.4588499687
242	0.4581379611
243	0.4576915142
244	0.4570799943
245	0.4565954124
246	0.4563711331
247	0.455751305
248	0.4552626052
249	0.4547777422
250	0.454249217
251	0.4538933703
252	0.4532905107
253	0.4525042608
254	0.4521226047
255	0.4515423259
256	0.4510967008
257	0.4508549766
258	0.4503266899
259	0.4498618899
260	0.4494979307
261	0.4493034512
262	0.4488301453
263	0.4484319558
264	0.4479830443
265	0.4473469414
266	0.4468098192
267	0.4461698632
268	0.4459228439
269	0.445333019
270	0.4446204832
271	0.4439983467
272	0.4435036364
273	0.4431553781
274	0.4427355009
275	0.442248837
276	0.4420118263
277	0.441533666
278	0.4411255915
279	0.4403059292
280	0.4398360379
281	0.4393570724
282	0.4390265753
283	0.4385105887
284	0.438030637
285	0.4377159393
286	0.4372879688
287	0.4370984836
288	0.4369433018
289	0.4366790003
290	0.4360541704
291	0.4356311926
292	0.4352837473
293	0.4345418351
294	0.4339609397
295	0.4334979244
296	0.4330119568
297	0.4324633351
298	0.4319872647
299	0.4313668089
300	0.4308630495
301	0.4301469949
302	0.4297409657
303	0.4294256646
304	0.4289307603
305	0.4284424135
306	0.4281883059
307	0.4276990945
308	0.4273376459
309	0.4267091953
310	0.4260320546
311	0.4256602348
312	0.4250879751
313	0.4247372545
314	0.4243921202
315	0.4240250255
316	0.4232910753
317	0.4227908026
318	0.4222794069
319	0.4218610412
320	0.4213497728
321	0.421122032
322	0.4207022814
323	0.4198388026
324	0.4194443699
325	0.4188933634
326	0.4186363362
327	0.4181854833
328	0.41777456
329	0.4168899608
330	0.4165752618
331	0.4161031027
332	0.4158042426
333	0.415430074
334	0.4147041326
335	0.4143216791
336	0.4137478899
337	0.4130075578
338	0.4123285172
339	0.4116758102
340	0.4110491186
341	0.4107686523
342	0.4102577907
343	0.410013548
344	0.4094542312
345	0.4087941979
346	0.4084040585
347	0.4077819711
348	0.4071146697
349	0.4067055742
350	0.4065416593
351	0.405917304
352	0.4055342159
353	0.4052050267
354	0.4049918797
355	0.4044608907
356	0.4043030095
357	0.4041352894
358	0.4039368735
359	0.4033855987
360	0.4030249064
361	0.4026436919
362	0.4023186176
363	0.4018157284
364	0.4015124824
365	0.4011340433
366	0.400693772
367	0.4002429972
368	0.3996806721
369	0.3991632791
370	0.3987555646
371	0.3982521175
372	0.3978406197
373	0.3973354527
374	0.3970700835
375	0.3965684355
376	0.3962571265
377	0.3959162019
378	0.3957496522
379	0.3955682851
380	0.3949534259
381	0.3946041323
382	0.394218755
383	0.3938875817
384	0.3932948452
385	0.3927411416
386	0.3923028031
387	0.3919829673
388	0.3914562409
389	0.3911810466
390	0.3908441684
391	0.3905716328
392	0.3902615987
393	0.3899607822
394	0.3896175622
395	0.3893354897
396	0.3887332916
397	0.3885513937
398	0.3883278121
399	0.3882468381
400	0.3878762551
401	0.3873787489
402	0.3870859077
403	0.3866556832
404	0.3861657581
405	0.3857796645
406	0.3854265453
407	0.3850848609
408	0.3842450424
409	0.3839971684
410	0.3837398606
411	0.3831132229
412	0.3826387685
413	0.3823085707
414	0.3820611375
415	0.3814740176
416	0.3811498462
417	0.38072392
418	0.3803382305
419	0.3801242127
420	0.3799294772
421	0.3793307843
422	0.3790303985
423	0.3787478169
424	0.3784775913
425	0.3782613959
426	0.3779936105
427	0.377265551
428	0.376915893
429	0.3766949614
430	0.3764304607
431	0.3760646355
432	0.375762428
433	0.3755052442
434	0.3750358089
435	0.3746937165
436	0.374408599
437	0.3740745009
438	0.3738858783
439	0.3735613214
440	0.3730491125
441	0.3729106795
442	0.3727383538
443	0.3724442552
444	0.3722538351
445	0.3717791859
446	0.3714255639
447	0.3712025619
448	0.3708179953
449	0.3702203891
450	0.3700088859
451	0.3696921031
452	0.3691419486
453	0.3683895397
454	0.3681607729
455	0.3679954089
456	0.3677315092
457	0.3672577297
458	0.3668220235
459	0.3664222792
460	0.3660471812
461	0.3657978219
462	0.3654306688
463	0.3650302561
464	0.3646371354
465	0.364391858
466	0.3640540751
467	0.36365034
468	0.363265689
469	0.3628639405
470	0.3625276675
471	0.3621266978
472	0.3614920385
473	0.3612862283
474	0.3608273286
475	0.3605645674
476	0.3600933227
477	0.3598773365
478	0.3594725053
479	0.3592277204
480	0.3589374246
481	0.3583562483
482	0.3580265229
483	0.3577627135
484	0.3574053716
485	0.357090735
486	0.3567656899
487	0.3564567899
488	0.3560917546
489	0.3558071323
490	0.3555553295
491	0.3549752813
492	0.3546638232
493	0.3543623991
494	0.3540501114
495	0.3538336777
496	0.3536415991
497	0.353084738
498	0.3528439726
499	0.3524294241
500	0.3521920706
501	0.3518249254
502	0.3516363188
503	0.3512449488
504	0.3509824941
505	0.3506527579
506	0.3503688173
507	0.3500923822
508	0.34971164
509	0.3494059048
510	0.3490370583
511	0.3484172875
512	0.3482502281
513	0.3479900221
514	0.3475803828
515	0.3472692509
516	0.3470884507
517	0.3468303636
518	0.346547018
519	0.3460945183
520	0.3455751759
521	0.3451167677
522	0.3448891109
523	0.3445186617
524	0.3443123969
525	0.343918645
526	0.3436015714
527	0.3431690139
528	0.3429380811
529	0.3426408991
530	0.3422823669
531	0.341980329
532	0.3416929047
533	0.3414357877
534	0.3411165924
535	0.3409494771
536	0.3405957267
537	0.3399590236
538	0.339519642
539	0.3392932462
540	0.3390570643
541	0.3387107284
542	0.3383496258
543	0.3381019999
544	0.3375679089
545	0.3374128798
546	0.3370190086
547	0.3366485664
548	0.3364629283
549	0.3361769728
550	0.3358569027
551	0.3356462467
552	0.3353632255
553	0.3351347919
554	0.3347741414
555	0.3344432748
556	0.333859445
557	0.3335884764
558	0.3332275783
559	0.33303846
560	0.3326464126
561	0.3323315559
562	0.3320892895
563	0.3318300236
564	0.3315457905
565	0.3313687436
566	0.3308928196
567	0.3305833027
568	0.3301925218
569	0.3299206967
570	0.3294501278
571	0.3290476636
572	0.3288276543
573	0.3285300877
574	0.3282613389
575	0.3280193042
576	0.3276446841
577	0.3273277202
578	0.327080276
579	0.3268885214
580	0.3266254441
581	0.3263287757
582	0.3259467015
583	0.3257101348
584	0.3254752748
585	0.3251961966
586	0.3249895136
587	0.3247618986
588	0.3245182177
589	0.3243195569
590	0.3239979182
591	0.3235037005
592	0.3231645971
593	0.3229454401
594	0.3227003298
595	0.3224464047
596	0.322081083
597	0.3218056481
598	0.321295143
599	0.3210701889
600	0.3207724007
601	0.3204828598
602	0.3202343475
603	0.3200501572
604	0.3195589957
605	0.3190551681
606	0.3187587187
607	0.3184696188
608	0.3183140732
609	0.3180963246
610	0.3176706486
611	0.3173905874
612	0.3167541339
613	0.3165610063
614	0.3162434158
615	0.3156443345
616	0.3153154936
617	0.3150383504
618	0.3146668272
619	0.3143177518
620	0.3141214372
621	0.3139650462
622	0.3136271236
623	0.3133880161
624	0.3129650706
625	0.3126908336
626	0.3124925286
627	0.3121326927
628	0.3118165341
629	0.3116757863
630	0.3111696682
631	0.3107804394
632	0.3104239028
633	0.3101923451
634	0.3099043451
635	0.3096714784
636	0.3093066307
637	0.3090384484
638	0.3087658262
639	0.3085557971
640	0.3081443462
641	0.3079897217
642	0.3074821664
643	0.3072936463
644	0.3069895523
645	0.3068066559
646	0.3065375956
647	0.306280114
648	0.3060783955
649	0.3056780228
650	0.3053769656
651	0.3051656393
652	0.3049653843
653	0.3047123893
654	0.3044489925
655	0.3041393713
656	0.3039261067
657	0.3036395785
658	0.303285596
659	0.3028003957
660	0.3025353807
661	0.3022477409
662	0.3020209433
663	0.3015397739
664	0.3012291277
665	0.3010222104
666	0.3007916125
667	0.3005208404
668	0.3001599523
669	0.2999782287
670	0.2996193417
671	0.2992079931
672	0.2988185198
673	0.2986114721
674	0.2984217896
675	0.2980973726
676	0.2978220495
677	0.2976287755
678	0.2975159899
679	0.2973206459
680	0.2970318925
681	0.2967780082
682	0.2963174293
683	0.2960714139
684	0.2958414931
685	0.2956591145
686	0.2954855651
687	0.2953589187
688	0.29506971
689	0.294766801
690	0.2946069097
691	0.2943908332
692	0.2941736343
693	0.2939485588
694	0.2937502263
695	0.2935708877
696	0.293221743
697	0.2929900125
698	0.2927292047
699	0.2925062297
700	0.2923780268
701	0.2921078607
702	0.2918854042
703	0.2916714199
704	0.2914099511
705	0.2911055549
706	0.2908914756
707	0.290663412
708	0.2902400414
709	0.2900078859
710	0.2898113128
711	0.2896571002
712	0.289389278
713	0.2891423324
714	0.2888981769
715	0.2883584117
716	0.2881856922
717	0.2878649753
718	0.2874987704
719	0.2872062578
720	0.2870092483
721	0.2866825905
722	0.2863445627
723	0.2861049292
724	0.2858693853
725	0.2855310268
726	0.2852384334
727	0.285043497
728	0.2848691382
729	0.284705272
730	0.284414403
731	0.2842095317
732	0.2840030655
733	0.2836472249
734	0.2832352954
735	0.2831214155
736	0.2829531825
737	0.282642036
738	0.2824166898
739	0.2820792759
740	0.2815920466
741	0.2810400567
742	0.2807535498
743	0.2804812409
744	0.2803404716
745	0.2801232218
746	0.2798738748
747	0.2797146759
748	0.2795075592
749	0.2793223074
750	0.2791313681
751	0.2788884647
752	0.2786219648
753	0.2784513428
754	0.278156305
755	0.277995432
756	0.2777647355
757	0.2775927682
758	0.2773997688
759	0.2771367815
760	0.2767116136
761	0.2765420695
762	0.276360691
763	0.2759512918
764	0.2758093652
765	0.2755618675
766	0.275276392
767	0.2750370233
768	0.2748267962
769	0.2746489704
770	0.274481728
771	0.2743350795
772	0.2741533914
773	0.2736394879
774	0.273339059
775	0.2731271571
776	0.2727629068
777	0.2725724894
778	0.2723631698
779	0.272197302
780	0.2720247237
781	0.2717652051
782	0.2713868397
783	0.2711852583
784	0.2707029223
785	0.2705087034
786	0.2701563858
787	0.2698224199
788	0.2695602544
789	0.2693911076
790	0.2691059239
791	0.2688618071
792	0.2687040719
793	0.2685290023
794	0.2683996471
795	0.2681713478
796	0.2678619814
797	0.2675724343
798	0.2674078441
799	0.2671861083
800	0.2669874065
801	0.2666802374
802	0.2663416939
803	0.2660517381
804	0.2659254169
805	0.2656584782
806	0.2654986626
807	0.2652343791
808	0.2650873021
809	0.2648855358
810	0.2646326159
811	0.2643601762
812	0.2641068254
813	0.2639305839
814	0.2635560443
815	0.263330952
816	0.2631600116
817	0.262996225
818	0.2627542524
819	0.2626078049
820	0.262439279
821	0.262107852
822	0.2618693908
823	0.2614680422
824	0.261302182
825	0.2610200723
826	0.2606221816
827	0.2603401076
828	0.2601879764
829	0.2600690739
830	0.2599525231
831	0.2596759431
832	0.2593376742
833	0.2591282568
834	0.2589359428
835	0.2587220239
836	0.2584519238
837	0.2581381854
838	0.2578020042
839	0.2575836438
840	0.2573982173
841	0.2572466387
842	0.2569520183
843	0.2567676229
844	0.2566402722
845	0.25647713
846	0.2562332471
847	0.2560995445
848	0.2559147292
849	0.2558013518
850	0.2556398836
851	0.255305807
852	0.2551536651
853	0.254729261
854	0.2545569838
855	0.2543547315
856	0.2541506198
857	0.2539292805
858	0.253796494
859	0.2536669389
860	0.2535048125
861	0.2532738068
862	0.2530197842
863	0.2528130855
864	0.2525568358
865	0.2522967851
866	0.252002825
867	0.2517099564
868	0.2515368865
869	0.2514258224
870	0.2511480457
871	0.250969268
872	0.2508054314
873	0.2506368172
874	0.2503882363
875	0.2502707576
876	0.2498294216
877	0.2496734971
878	0.2495461472
879	0.2492633101
880	0.2491259951
881	0.2489851455
882	0.2488840581
883	0.2487433744
884	0.2485572292
885	0.2484454202
886	0.2480477611
887	0.247798505
888	0.2475607467
889	0.2472421844
890	0.246874185
891	0.2464644019
892	0.2462321603
893	0.2460491758
894	0.245850128
895	0.2457515636
896	0.2455318693
897	0.2452768765
898	0.2450814647
899	0.2448827568
900	0.244580441
901	0.2443879128
902	0.2441851917
903	0.2438182886
904	0.2436145502
905	0.2434190917
906	0.243206621
907	0.243013648
908	0.2428156265
909	0.2426535785
910	0.242464276
911	0.2421889735
912	0.2418231247
913	0.2413846295
914	0.2412164305
915	0.2409987334
916	0.2407321048
917	0.2404374176
918	0.2401930628
919	0.2398280664
920	0.2396818331
921	0.239519178
922	0.2392764529
923	0.2390956339
924	0.2388361016
925	0.2386508466
926	0.2384838926
927	0.2382868857
928	0.2380202928
929	0.2378610212
930	0.2374724235
931	0.2371906654
932	0.2370970255
933	0.2368049444
934	0.2364731652
935	0.236308675
936	0.2360411786
937	0.2358317042
938	0.2357093943
939	0.2355249309
940	0.2352736507
941	0.2349976185
942	0.2348402604
943	0.2346939504
944	0.2345394081
945	0.2344199406
946	0.2342367366
947	0.2340169065
948	0.2338740221
949	0.2335814699
950	0.2334405158
951	0.2331381344
952	0.2328981586
953	0.2327592575
954	0.2325126611
955	0.2323851761
956	0.2321884567
957	0.2320216788
958	0.2317275476
959	0.2314965063
960	0.2313620482
961	0.231138345
962	0.2308723618
963	0.2304736838
964	0.2302983037
965	0.2300811695
966	0.2299419623
967	0.2298329011
968	0.2295945727
969	0.2294535698
970	0.2293181813
971	0.2291263179
972	0.229024707
973	0.2287709911
974	0.228500936
975	0.2283397891
976	0.2281499943
977	0.2280390776
978	0.2279111801
979	0.2277499927
980	0.2276211905
981	0.2274112915
982	0.227296027
983	0.227155969
984	0.2268689861
985	0.2267358223
986	0.2265657462
987	0.2262974621
988	0.226119393
989	0.2258292488
990	0.225725377
991	0.2255036912
992	0.2251507158
993	0.2248805256
994	0.2247615978
995	0.2245470756
996	0.2243471512
997	0.2241696766
998	0.2239965307
999	0.2238246076
